Atomic Number,Symbol,Name,Shear Modulus (GPa),Shear Modulus (psi),Leading Digit of GPa,Leaidng Digit of psi
3,Li,lithium,4.2,609159.6,4,6
4,Be,beryllium,132.0,19145016.0,1,1
11,Na,sodium,3.3,478625.4,3,4
12,Mg,magnesium,17.0,2465646.0,1,2
13,Al,aluminium,26.0,3770988.0,2,3
19,K,potassium,1.3,188549.4,1,1
20,Ca,calcium,7.4,1073281.2,7,1
21,Sc,scandium,29.1,4220605.8,2,4
22,Ti,titanium,44.0,6381672.0,4,6
23,V,vanadium,47.0,6816786.0,4,6
24,Cr,chromium,115.0,16679370.0,1,1
26,Fe,iron,82.0,11893116.0,8,1
27,Co,cobalt,75.0,10877850.0,7,1
28,Ni,nickel,76.0,11022888.0,7,1
29,Cu,copper,48.0,6961824.0,4,6
30,Zn,zinc,43.0,6236634.0,4,6
34,Se,selenium,3.7,536640.6,3,5
38,Sr,strontium,6.1,884731.8,6,8
39,Y,yttrium,25.6,3712972.8,2,3
40,Zr,zirconium,33.0,4786254.0,3,4
41,Nb,niobium,38.0,5511444.0,3,5
42,Mo,molybdenum,120.0,17404560.0,1,1
44,Ru,ruthenium,173.0,25091574.0,1,2
45,Rh,rhodium,150.0,21755700.0,1,2
46,Pd,palladium,44.0,6381672.0,4,6
47,Ag,silver,30.0,4351140.0,3,4
48,Cd,cadmium,19.0,2755722.0,1,2
50,Sn,tin,18.0,2610684.0,1,2
51,Sb,antimony,20.0,2900760.0,2,2
52,Te,tellurium,16.0,2320608.0,1,2
56,Ba,barium,4.9,710686.2,4,7
57,La,lanthanum,14.3,2074043.4,1,2
58,Ce,cerium,13.5,1958013.0,1,1
59,Pr,praseodymium,14.8,2146562.4,1,2
60,Nd,neodymium,16.3,2364119.4,1,2
61,Pm,promethium,18.0,2610684.0,1,2
62,Sm,samarium,19.5,2828241.0,1,2
63,Eu,europium,7.9,1145800.2,7,1
64,Gd,gadolinium,21.8,3161828.4,2,3
65,Tb,terbium,22.1,3205339.8,2,3
66,Dy,dysprosium,24.7,3582438.6,2,3
67,Ho,holmium,26.3,3814499.4,2,3
68,Er,erbium,28.3,4104575.4,2,4
69,Tm,thulium,30.5,4423659.0,3,4
70,Yb,ytterbium,9.9,1435876.2,9,1
71,Lu,lutetium,27.2,3945033.6,2,3
72,Hf,hafnium,30.0,4351140.0,3,4
73,Ta,tantalum,69.0,10007622.0,6,1
74,W,tungsten,161.0,23351118.0,1,2
75,Re,rhenium,178.0,25816764.0,1,2
76,Os,osmium,222.0,32198436.0,2,3
77,Ir,iridium,210.0,30457980.0,2,3
78,Pt,platinum,61.0,8847318.0,6,8
79,Au,gold,27.0,3916026.0,2,3
81,Tl,thallium,2.8,406106.4,2,4
82,Pb,lead,5.6,812212.8,5,8
83,Bi,bismuth,12.0,1740456.0,1,1
90,Th,thorium,31.0,4496178.0,3,4
92,U,uranium,111.0,16099218.0,1,1
94,Pu,plutonium,43.0,6236634.0,4,6
